# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Jun 21 02:14:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.04681, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0001 -2.19174 10.00000 0.6268575788 2.3384315968    0.627 -0.527  3.7435  4.688    1  0.000  0.544     0.00     0.00 -1 -2.13e-14      0.00 7.976e-01 2.023e-01 1.486e-05 4.015e-06 3.645e-05 -1.000 1.000e-04 6.088 7.536 6.608 6.125 5.947 5.873
0.0001 -2.19174 10.00000 0.6399217844 2.3462502956    0.640 -0.472  3.7507  4.671    1  0.000  0.543     0.00     0.00 -1 -2.44e-14      0.00 8.018e-01 1.982e-01 1.460e-05 3.944e-06 3.582e-05 -1.000 8.050e-05 5.950 7.335 6.445 5.989 5.824 5.759
0.0001 -2.19174 10.00000 0.6499999762 2.3520355225    0.650 -0.430  3.7563  4.657    1  0.000  0.543     0.00     0.00 -1 -2.71e-14      0.00 8.051e-01 1.948e-01 1.438e-05 3.886e-06 3.530e-05 -1.000 4.314e-05 5.844 7.183 6.319 5.885 5.730 5.671
0.0001 -2.19174 10.00000 0.6578151584 2.3563814163    0.658 -0.396  3.7604  4.646    1  0.000  0.543     0.00     0.00 -1 -2.95e-14      0.00 8.084e-01 1.915e-01 1.417e-05 3.830e-06 3.479e-05 -1.000 1.001e-04 5.760 7.067 6.222 5.803 5.656 5.602
0.0001 -2.19174 10.00000 0.6703730226 2.3631217480    0.670 -0.342  3.7670  4.626    1  0.000  0.543     0.00     0.00 -1 -3.39e-14      0.00 8.140e-01 1.859e-01 1.380e-05 3.734e-06 3.393e-05 -1.000 1.000e-04 5.625 6.889 6.068 5.672 5.536 5.490
0.0001 -2.19174 10.00000 0.6827354431 2.3694791794    0.683 -0.288  3.7734  4.606    1  0.000  0.542     0.00     0.00 -1 -3.89e-14      0.00 8.200e-01 1.799e-01 1.342e-05 3.631e-06 3.301e-05 -1.000 1.000e-04 5.490 6.717 5.916 5.542 5.416 5.377
0.0001 -2.19174 10.00000 0.6937190890 2.3749094009    0.694 -0.239  3.7789  4.586    1  0.000  0.542     0.00     0.00 -1 -4.42e-14      0.00 8.257e-01 1.742e-01 1.305e-05 3.534e-06 3.213e-05 -1.000 1.000e-04 5.368 6.565 5.780 5.425 5.308 5.275
0.0001 -2.19174 10.00000 0.6999999881 2.3779268265    0.700 -0.211  3.7820  4.574    1  0.000  0.541     0.00     0.00 -1 -4.75e-14      0.00 8.291e-01 1.708e-01 1.283e-05 3.475e-06 3.160e-05 -1.000 1.000e-04 5.298 6.480 5.702 5.358 5.245 5.216
0.0001 -2.19174 10.00000 0.7001399398 2.3779933453    0.700 -0.210  3.7821  4.574    1  0.000  0.541     0.00     0.00 -1 -4.76e-14      0.00 8.292e-01 1.707e-01 1.282e-05 3.474e-06 3.159e-05 -1.000 9.994e-05 5.296 6.478 5.700 5.356 5.244 5.215
0.0001 -2.19174 10.00000 0.7127579451 2.3838679790    0.712 -0.152  3.7880  4.547    1  0.000  0.539     0.00     0.00 -1 -5.57e-14      0.00 8.363e-01 1.637e-01 1.237e-05 3.363e-06 3.062e-05 -1.000 7.498e-05 5.151 6.308 5.539 5.216 5.114 5.092
0.0001 -2.19174 10.00000 0.7249027491 2.3893005848    0.725 -0.094  3.7935  4.518    1  0.000  0.536     0.00     0.00 -1 -6.52e-14      0.00 8.426e-01 1.573e-01 1.198e-05 3.269e-06 2.979e-05 -1.000 4.938e-05 5.006 6.143 5.380 5.076 4.983 4.968
0.0001 -2.19174 10.00000 0.7357029915 2.3939590454    0.735 -0.040  3.7983  4.490    1  0.000  0.534     0.00     0.00 -1 -7.56e-14      0.00 8.477e-01 1.522e-01 1.168e-05 3.197e-06 2.916e-05 -1.000 6.300e-05 4.871 5.994 5.233 4.946 4.861 4.851
0.0001 -2.19174 10.00000 0.7458790541 2.3982064724    0.745  0.013  3.8028  4.461    1  0.000  0.532     0.00     0.00 -1 -8.77e-14      0.00 8.520e-01 1.480e-01 1.144e-05 3.142e-06 2.869e-05 -1.000 1.644e-05 4.739 5.852 5.088 4.816 4.739 4.734
0.0001 -2.19174 10.00000 0.7500000000 2.3998889923    0.750  0.035  3.8045  4.448    1  0.000  0.531     0.00     0.00 -1 -9.34e-14      0.00 8.536e-01 1.464e-01 1.136e-05 3.124e-06 2.853e-05 -1.000 -1.043e-07 4.683 5.793 5.028 4.762 4.687 4.685
0.0001 -2.19174 10.00000 0.7573732734 2.4028468132    0.757  0.075  3.8079  4.425    1  0.000  0.530     0.00     0.00 -1 -1.05e-13      0.00 8.540e-01 1.460e-01 1.139e-05 3.134e-06 2.864e-05 -1.000 1.518e-05 4.581 5.686 4.917 4.663 4.594 4.596
0.0001 -2.19174 10.00000 0.7659595013 2.4062087536    0.765  0.125  3.8119  4.396    1  0.000  0.530     0.00     0.00 -1 -1.21e-13      0.00 8.544e-01 1.456e-01 1.144e-05 3.147e-06 2.876e-05 -1.000 3.265e-05 4.456 5.557 4.781 4.540 4.478 4.484
0.0001 -2.19174 10.00000 0.7741830945 2.4093484879    0.773  0.177  3.8157  4.365    1  0.000  0.529     0.00     0.00 -1  -1.4e-13      0.00 8.546e-01 1.453e-01 1.147e-05 3.160e-06 2.889e-05 -1.000 9.997e-05 4.328 5.426 4.641 4.413 4.357 4.368
0.0001 -2.19174 10.00000 0.7818734646 2.4122159481    0.781  0.228  3.8193  4.332    1  0.000  0.529     0.00     0.00 -1 -1.63e-13      0.00 8.548e-01 1.451e-01 1.152e-05 3.174e-06 2.903e-05 -1.000 9.997e-05 4.200 5.296 4.502 4.285 4.235 4.250
0.0001 -2.19174 10.00000 0.7911351323 2.4155843258    0.790  0.296  3.8234  4.286    1  0.000  0.529     0.00     0.00 -1 -1.99e-13      0.00 8.548e-01 1.451e-01 1.158e-05 3.193e-06 2.922e-05 -1.000 9.999e-05 4.031 5.128 4.320 4.116 4.074 4.094
0.0001 -2.19174 10.00000 0.7996870279 2.4186151028    0.799  0.365  3.8270  4.235    1  0.000  0.529     0.00     0.00 -1 -2.46e-13      0.00 8.548e-01 1.452e-01 1.165e-05 3.211e-06 2.938e-05 -1.000 1.787e-05 3.857 4.955 4.134 3.941 3.905 3.930
0.0001 -2.19174 10.00000 0.8000000119 2.4187245369    0.799  0.368  3.8271  4.233    1  0.000  0.529     0.00     0.00 -1 -2.48e-13      0.00 8.548e-01 1.452e-01 1.165e-05 3.212e-06 2.939e-05 -1.000 1.442e-05 3.850 4.949 4.127 3.935 3.899 3.924
0.0001 -2.19174 10.00000 0.8012468815 2.4191598892    0.800  0.378  3.8276  4.226    1  0.000  0.529     0.00     0.00 -1 -2.56e-13      0.00 8.547e-01 1.453e-01 1.165e-05 3.213e-06 2.940e-05 -1.000 1.907e-06 3.825 4.924 4.099 3.909 3.875 3.900
0.0001 -2.19174 10.00000 0.8072426915 2.4212312698    0.806  0.431  3.8299  4.185    1  0.000  0.528     0.00     0.00 -1 -3.03e-13      0.00 8.542e-01 1.457e-01 1.168e-05 3.221e-06 2.948e-05 -1.000 1.000e-04 3.693 4.794 3.958 3.776 3.746 3.774
0.0001 -2.19174 10.00000 0.8138886094 2.4234864712    0.813  0.494  3.8316  4.132    1  0.000  0.529     0.00     0.00 -1  -3.7e-13      0.00 8.523e-01 1.476e-01 1.181e-05 3.254e-06 2.978e-05 -1.000 1.000e-04 3.535 4.641 3.793 3.617 3.591 3.621
0.0001 -2.19174 10.00000 0.8152154088 2.4239315987    0.814  0.508  3.8316  4.119    1  0.000  0.529     0.00     0.00 -1 -3.89e-13      0.00 8.519e-01 1.480e-01 1.183e-05 3.261e-06 2.984e-05 -1.000 9.999e-05 3.501 4.608 3.757 3.582 3.556 3.587
0.0001 -2.19174 10.00000 0.8159552813 2.4241793156    0.815  0.516  3.8316  4.111    1  0.000  0.529     0.00     0.00 -1 -4.01e-13      0.00 8.516e-01 1.483e-01 1.185e-05 3.265e-06 2.988e-05 -1.000 9.994e-05 3.480 4.589 3.736 3.562 3.535 3.566
0.0001 -2.19174 10.00000 0.8201174140 2.4255621433    0.819  0.565  3.8304  4.060    1  0.000  0.529     0.00     0.00 -1 -4.72e-13      0.00 8.504e-01 1.495e-01 1.193e-05 3.286e-06 3.007e-05 -1.000 1.000e-04 3.358 4.472 3.613 3.437 3.410 3.439
0.0001 -2.19174 10.00000 0.8240900040 2.4268670082    0.822  0.619  3.8266  3.993    1  0.000  0.529     0.00     0.00 -1 -5.75e-13      0.00 8.492e-01 1.507e-01 1.200e-05 3.306e-06 3.025e-05 -1.000 1.000e-04 3.222 4.346 3.483 3.298 3.266 3.291
0.0001 -2.19174 10.00000 0.8247934580 2.4270966053    0.823  0.630  3.8256  3.979    1  0.000  0.529     0.00     0.00 -1 -6.02e-13      0.00 8.490e-01 1.509e-01 1.201e-05 3.310e-06 3.028e-05 -1.000 9.999e-05 3.196 4.322 3.459 3.271 3.237 3.261
